	position	artist	title	year
20	20	FRANCIS CABREL	C'est écrit	1989
21	21	THE BANGLES	Eternal flame	1989
22	22	TANITA TIKARAM	Twist in my sobriety	1989
23	23	DONNA SUMMER	This time I know it's for real	1989
24	24	BLACK BOX	Ride on time	1989
25	25	ROBIN BECK	First time	1989
26	26	SIMPLY RED	If you don't know me by now	1989
27	27	MILLI VANILLI	Baby don't forget my number	1989
28	28	SOUL II SOUL	Keep on movin'	1989
29	29	PHIL COLLINS	Two hearts	1989
30	30	MYLENE FARMER	Sans logique	1989
31	31	SIMPLE MINDS	Mandela day	1989
32	32	JIVE BUNNY & THE MASTERMIXERS	Swing the mood	1989
33	33	TEXAS	I don't want a lover	1989
34	34	MICHAEL JACKSON	Liberian girl	1989
35	35	VILLAGE PEOPLE	Megamix	1989
36	36	ROXETTE	The look	1989
37	37	KYLIE MINOGUE	Hand on your heart	1989
38	38	ELSA	A la même heure dans deux ans	1989
39	39	WOMACK & WOMACK	Celebrate the world	1989
40	40	BANANARAMA	Help!	1989
41	41	THE BEACH BOYS	Kokomo	1989
42	42	PACIFIQUE	Quand tu serres mon corps	1989
43	43	PAULA ABDUL	Straight up	1989
44	44	KYLIE MINOGUE	The loco-motion	1989
45	45	JEAN-PIERRE FRANCOIS	Je te survivrai	1989
46	46	MARC LAVOINE	C'est la vie	1989
47	47	JASON DONOVAN	Too many broken hearts	1989
48	48	JOHNNY HALLYDAY	Mirador	1989
49	49	CYNDI LAUPER	I drove all night	1989
50	50	NENEH CHERRY	Manchild	1989
1	1	SINEAD O'CONNOR	Nothing compares 2 U	1990
2	2	MECANO	Une femme avec une femme	1990
3	3	UB40	Kingston town	1990
4	4	SNAP!	The power	1990
5	5	ZOUK MACHINE	Maldòn (la musique dans la peau)	1990
6	6	THE CHRISTIANS	Words	1990
7	7	D.N.A. feat. SUZANNE VEGA	Tom's diner	1990
8	8	ELTON JOHN	Sacrifice	1990
9	9	MADONNA	Vogue	1990
10	10	DEPECHE MODE	Enjoy the silence	1990
11	11	PHIL COLLINS	I wish it would rain down	1990
12	12	PHIL COLLINS	Another day in paradise	1990
13	13	INXS	Suicide blonde	1990
14	14	ALANNAH MYLES	Black velvet	1990
15	15	M.C. SAR & THE REAL McCOY	It's on you	1990
16	16	M.C. HAMMER	U can't touch this	1990
17	17	JOELLE URSULL	White and black blues	1990
18	18	THIERRY HAZARD	Le jerk !	1990
19	19	CHARLES D. LEWIS	Soca dance	1990
20	20	MARIAH CAREY	Vision of love	1990
21	21	JIMMY SOMERVILLE	You make me feel (mighty real)	1990
22	22	FRANCOIS FELDMAN	Les valses de Vienne	1990
23	23	TECHNOTRONIC	Get up! (before the night is over)	1990
24	24	TEARS FOR FEARS	Woman in chains	1990
25	25	GEORGE MICHAEL	Praying for time	1990
26	26	TEARS FOR FEARS	Advice for the young at heart	1990
27	27	BENNY B. feat. D.J. DADDY K.	Vous êtes fous !	1990
28	28	SYDNEY YOUNGBLOOD	If only I could	1990
29	29	PHIL COLLINS	Something happened on the way to heaven	1990
30	30	NEW KIDS ON THE BLOCK	Tonight	1990
31	31	LISA STANSFIELD	All around the world	1990
32	32	FRANCOIS FELDMAN	C'est toi qui m'as fait	1990
33	33	SYDNEY YOUNGBLOOD	Sit and wait	1990
34	34	DEPECHE MODE	Policy of truth	1990
35	35	JIMMY SOMERVILLE feat. JUNE MILES KINGSTON	Comment te dire adieu	1990
36	36	NEW KIDS ON THE BLOCK	You got it (the right stuff)	1990
37	37	DEEE-LITE	Groove is in the heart	1990
38	38	ROCH VOISINE	Avant de partir	1990
39	39	BEATS INTERNATIONAL	Dub be good to me	1990
40	40	MARK BOYCE	Hey little girl	1990
41	41	CHRIS REA	The road to hell	1990
42	42	PATRICK BRUEL	Alors regarde	1990
43	43	NICK KAMEN	I promised myself	1990
44	44	LATINO PARTY	The party	1990
45	45	WHITNEY HOUSTON	I'm your baby tonight	1990
46	46	ADEVA	I thank you	1990
47	47	NEW KIDS ON THE BLOCK	Step by step	1990
48	48	MILLI VANILLI	Girl I'm gonna miss you	1990
49	49	MAXI PRIEST	Close to you	1990
50	50	BLACK BOX	I don't know anybody else	1990
1	1	REM	Losing my religion	1991
2	2	ZUCCHERO & PAUL YOUNG	Senza una donna (without a woman)	1991
3	3	SCORPIONS	Wind of change	1991
4	4	BRYAN ADAMS	(Everything I do) I do it for you	1991
5	5	SEAL	Crazy	1991
6	6	MYLENE FARMER	Désenchantée	1991
7	7	CRYSTAL WATERS	Gypsy woman (la da dee la da da)	1991
8	8	MYLENE FARMER & JEAN-LOUIS MURAT	Regrets	1991
9	9	UB40	Here I am (take me by the hand)	1991
10	10	LENNY KRAVITZ	It ain't over 'til it's over	1991
11	11	MADONNA	Justify my love	1991
12	12	SIMPLY RED	Something got me started	1991
13	13	CHER	The shoop shoop song (it's in his kiss)	1991
14	14	FREDERICKS, GOLDMAN & JONES	A nos actes manqués	1991
15	15	STEPHAN EICHER	Déjeuner en paix	1991
16	16	PAULA ABDUL	Rush rush	1991
17	17	DIRE STRAITS	Calling Elvis	1991
18	18	ROCH VOISINE	Darlin'	1991
19	19	GEORGE MICHAEL	Freedom '90	1991
20	20	COLOR ME BADD	I wanna sex you up	1991
21	21	VANILLA ICE	Ice ice baby	1991
22	22	D.N.A.	La serenissima	1991
23	23	THIERRY HAZARD	Poupée psychédélique	1991
24	24	PATRICK BRUEL	Qui a le droit... [live]	1991
25	25	ENIGMA	Sadeness part I	1991
26	26	REM	Shiny happy people	1991
27	27	PRINCE & THE NEW POWER GENERATION	Cream	1991
28	28	PATRICK BRUEL	Décalé	1991
